movie_name,comment_sentiment_name,review_star,clean_review_text,review_like_count
霸王别姬,好评,5,凱歌也曾NB過，那時風華絕代的張國榮也還那麼年輕……,4633
霸王别姬,好评,5,那些渴求永远的人，悲都悲得分外妖冶。,3914
霸王别姬,好评,4,不疯魔，不成活,3153
霸王别姬,好评,5,一笑万古春，一啼万古愁 2008.12,2081
霸王别姬,好评,5,耗尽了陈凯歌一生的才华，成就了一个痴情的程蝶衣。,1965
霸王别姬,好评,5,翻译成再见我的妾实在是太酷儿了。。,1401
霸王别姬,好评,5,哥哥艳不可当,1588
霸王别姬,一般,3,这么严肃的电影怎么选吴大维来演红卫兵呢？好恶趣味哦。陈凯歌这是学贝托鲁奇的末代皇帝啦。小豆子妈真的是蒋雯丽啊！蒋雯丽当年咋就这么美！！师傅说是人都听戏，不听戏的是畜生，老爷子果然有先见之明！,22
霸王别姬,一般,3,为了哥哥，再看,5
霸王别姬,一般,3,妈的陈蝶衣很烦诶,4
霸王别姬,一般,3,真觉得陈凯歌把好本子浪费了,5
霸王别姬,一般,3,不太清楚为什么评分、评价这么高……,20
霸王别姬,一般,3,格调低沉的片 ，倒是葛优是亮点,2
霸王别姬,一般,3,其实有很多让我有想法的，但却什么也说不出来...,0
霸王别姬,差评,1,梨园行虐待小孩还顺理成章的，这就是所谓的传统文化。,33
霸王别姬,差评,2,没看出来哪好,7
霸王别姬,差评,1,被张国荣的脑残粉烦的,20
霸王别姬,差评,1,胡拼乱揉的非电视剧。完美避开了任何元素间的隐关联，也是概率学的奇迹。,9
霸王别姬,差评,1,同样是唱戏的，在抗战时期在解放战争时期抗美援朝时期，真正的艺术家是像常香玉那样的。而不是自己一个人吸毒堕落陶醉在自己的所谓艺术戏曲的世界里面。,37
泰坦尼克号 Titanic,好评,5,那对对死无所畏惧的老夫妇，那个不为外界干扰的乐队，那个为生而做一次假父亲的男人，那个为爱人吹响口哨的女人。都是为了一种心灵上的执着。,17147
泰坦尼克号 Titanic,好评,4,爱你原本只是一瞬，却不知在时间的洪流中成了永恒。,16510
泰坦尼克号 Titanic,好评,5,生死两茫茫不思量自难忘,7686
泰坦尼克号 Titanic,好评,5,我学会了吐口水，我努力的活下来了，我去了好多你说过的地方，我学会了双腿张开骑马，我生了好多孩子，我已经活到一百岁了，我可以见到你了吗？,5952
泰坦尼克号 Titanic,好评,5,一部应该被记住的电影.,5636
泰坦尼克号 Titanic,好评,5,我想失去的才是永恒的。,5218
泰坦尼克号 Titanic,好评,5,有些片子，必须得等经历过再去看。没有为爱情放弃过什么的人，不会在露丝从救生船上跳回大船的那一刻落泪。,5098
泰坦尼克号 Titanic,好评,4,1998年，哈尔滨火车站地下给初恋女友买的盗版光盘。,4090
泰坦尼克号 Titanic,好评,5,事隔那麼多年依然無法忘記當初的感動。,4526
泰坦尼克号 Titanic,好评,5,能与诸位一起演奏 是我的荣幸,2295
泰坦尼克号 Titanic,好评,5,"""Every night in my dream, I see you, I feel you.""",1929
泰坦尼克号 Titanic,好评,5,他们的爱情死在最好的时候。,713
泰坦尼克号 Titanic,好评,5,我甚至连他的一张照片都没有，他活在我的心里,741
泰坦尼克号 Titanic,好评,5,“He saved me in every way a human can be saved”,488
泰坦尼克号 Titanic,一般,3,剧本居然收入人民教育出版社教材，可想而知对我国的巨大影响力。,1141
泰坦尼克号 Titanic,一般,3,隔这么久看还是觉得不怎么,27
泰坦尼克号 Titanic,一般,3,穷小子和富家女的爱情。,15
泰坦尼克号 Titanic,一般,3,这片都能有近9的评价？？？你们都是小清新好吗,6
泰坦尼克号 Titanic,一般,3,"只有老罗丝向海里扔项链时,回忆当年的情景时,比较感人.",0
泰坦尼克号 Titanic,一般,3,前段日子看了《Holiday》 Kate Winslet胖成那样了,0
泰坦尼克号 Titanic,一般,3,浪漫 不是我的专长,0
泰坦尼克号 Titanic,一般,3,oh jack,0
泰坦尼克号 Titanic,一般,3,小学4年级看的 就净记得rose的肉体和大块的蓝宝石了， 我那时真还是孩子，我发誓,0
泰坦尼克号 Titanic,一般,3,我就记得那个手印了,0
泰坦尼克号 Titanic,一般,3,你跳我就跳,0
泰坦尼克号 Titanic,一般,3,唯美灾难和最爱的人一起看,0
泰坦尼克号 Titanic,差评,2,露丝的后来老公是谁？两人只在船上认识了几天就xxoo了？没有留下遗腹子？上世纪初太open!,19
泰坦尼克号 Titanic,差评,2,事实证明，奥斯卡就是哄你玩的。,15
泰坦尼克号 Titanic,差评,2,花那麼多錢，太可惜！,2
泰坦尼克号 Titanic,差评,2,不是把肘子人参象拔蚌堆在一起就能做出一盘好菜,5
泰坦尼克号 Titanic,差评,2,补卡 满剧场小学生都看到了温斯莱特的大奶,6
泰坦尼克号 Titanic,差评,1,是上最贵的狗屎。。。现在是第二贵的狗屎。。。,11
泰坦尼克号 Titanic,差评,2,初中上课看的,2
阿甘正传 Forrest Gump,好评,5,羡慕珍妮，不管她多么叛逆、落魄、堕落，永远有阿甘在等她回来,20760
阿甘正传 Forrest Gump,好评,5,妈妈说，生活就像一盒巧克力……请不要再续下一句，耳朵听的起了茧子。,8764
阿甘正传 Forrest Gump,好评,5,阿甘奔跑的意象，应该留在了很多人心里。,5934
阿甘正传 Forrest Gump,好评,5,you are my girl.,4778
阿甘正传 Forrest Gump,好评,5,Mama always said life was like a box of chocolates. You never know what you're gonna get.,4660
阿甘正传 Forrest Gump,好评,4,太甜美的美國夢,4098
阿甘正传 Forrest Gump,好评,5,这部电影的主题是：“保守主义始终代表美国先进生产力的发展要求，始终代表美国先进文化的前进方向，始终代表美国最广大人民的根本利益。”,2564
阿甘正传 Forrest Gump,好评,5,"十年前看过一遍，那时还是一个小屁孩，就像Forrest的妈妈说的一样，生活就像一盒巧克力，十年前的我绝对不会预料得到现在我会成为一个这样的大男生。Forrest Gump真是把""蠢萌""这两个字发挥到极致，我的意思是，蠢萌，其实也是上帝给予的天赋。",1614
阿甘正传 Forrest Gump,好评,5,我一直记得那根羽毛,1014
阿甘正传 Forrest Gump,好评,5,可我还是觉得他很孤独。跑得太快的时候没人跟上他，停下来的时候身边的人一个一个都离他而去。,366
阿甘正传 Forrest Gump,好评,5,人人都该看!!,315
阿甘正传 Forrest Gump,好评,4,想起是在某人的电脑上面看的就恶心 而且他还不愿意发给我,171
阿甘正传 Forrest Gump,一般,3,说实话，我没看到影片过于励志的内容。只看到阿甘利用了他的天赋，并成功了。当然，他很执着，很善良。,4103
阿甘正传 Forrest Gump,一般,3,I don't like Joan Baez,32
阿甘正传 Forrest Gump,一般,3,某种程度上好假,24
阿甘正传 Forrest Gump,一般,3,励志什么的不感冒。,17
阿甘正传 Forrest Gump,一般,3,美国神话，没那么有趣,7
阿甘正传 Forrest Gump,一般,3,励志向上。,0
阿甘正传 Forrest Gump,一般,3,当然，他很善良，他很成功，他很励志，可他并不是我们,12
阿甘正传 Forrest Gump,一般,3,归为励志，更像臆想,8
阿甘正传 Forrest Gump,差评,1,痴人果然说梦。受不了这样的世界观。,366
阿甘正传 Forrest Gump,差评,1,Republican history porn,78
阿甘正传 Forrest Gump,差评,1,蒙头跑别思考，你就会成功。要多蠢才会相信这种鬼话,56
阿甘正传 Forrest Gump,差评,1,我特别特别特别讨厌阿甘,59
阿甘正传 Forrest Gump,差评,2,Run！ Forrest！Run！跑出阴霾,30
阿甘正传 Forrest Gump,差评,1,得标一星才能表示对这种电影的拒绝,31
阿甘正传 Forrest Gump,差评,1,美国主旋律电影，中国各大电影学院教学片。警惕其中的政治宣传，不要太相信美国梦。,34
阿甘正传 Forrest Gump,差评,1,白右比白左的恶心程度高多了,21
阿甘正传 Forrest Gump,差评,1,能列入“我最讨厌的影视top10”,10
阿甘正传 Forrest Gump,差评,2,然而珍妮从来没爱过他,3
阿甘正传 Forrest Gump,差评,1,"Forrest Gump, a man who didn't ask anything in life and got it all. why do I even bother to watch a film like this?",10
阿甘正传 Forrest Gump,差评,2,合众国简史。,3
千与千寻 千と千尋の神隠し,好评,5,不努力工作会变成猪,18785
千与千寻 千と千尋の神隠し,好评,5,曾发生过的事请不可能忘记 只不过是你想不起罢了,12984
千与千寻 千と千尋の神隠し,好评,5,最好的宫崎骏，最好的久石让。,6271
千与千寻 千と千尋の神隠し,好评,5,莫贪吃！贪吃变成猪！,4547
千与千寻 千と千尋の神隠し,好评,5,你忘了吗?往下飞的时候眼泪是往上流的.,4435
千与千寻 千と千尋の神隠し,好评,4,一个寻找自我或者自我复苏的过程,3213
千与千寻 千と千尋の神隠し,好评,5,我与猪都认可的片儿。,2653
千与千寻 千と千尋の神隠し,好评,5,有一点模糊的小爱情...小白龙报恩，千寻想起了她自己及小情人儿的名字。帮客人洗澡，小煤球儿来回跑。这些经历给我多好玩儿，我一定不会变成大猪，不乱吃东西，给客人洗得干干净净。小白龙永远跟我好回到14岁：）,2032
千与千寻 千と千尋の神隠し,好评,4,不是所有人都能够在误入迷踪时得遇白龙 也不是所有的长辈都能一如锅炉爷爷在夜里给你盖好棉被、还有嘴硬心软的玲、离开汤屋就回归善良的无脸人…很多变化都是不可逆的。。。,1911
千与千寻 千と千尋の神隠し,好评,5,曾经发生过的事情是不可能忘记的，只是想不起来罢了……你会帮我想起自己是谁对吧,1497
千与千寻 千と千尋の神隠し,好评,4,人人都要工作，否则便不能生活。,817
千与千寻 千と千尋の神隠し,好评,5,每个人都有千的时候也有千寻的时候,704
千与千寻 千と千尋の神隠し,好评,5,"常看IMDB和豆瓣的电影的TOP250排行榜，发现有不少公认的好电影我竟然没有看过，或者看得太早已经完全忘记了。决定开始“补课”，先消灭前30名内的“盲点”。第一部选中的是日本的《千与千寻》；IMDB评分8.5（680,503人次评价）排行27；豆瓣评分9.7（1，912，443人次评价），排行7。 果然名不虚传，内容形式完美结合、老少咸宜的佳片！宫崎骏的动画电影世界过去我看得太少，要补上。豆瓣上该片的“粉丝”很不少，看了些观感分析，获益良多。听说2019年（公演18年后）该片中文配音版在国内影院公映了，还有田壮壮参加配音；可惜我下载的是个广东话版，听着和日语也差不多，不影响观感。",262
千与千寻 千と千尋の神隠し,好评,5,回归纯真,262
千与千寻 千と千尋の神隠し,好评,5,白龙对千寻说“不要回头”，于是，她在告别无脸男与白龙的时候，便真的没有回头。直到穿越那条隧道，她才终于恍然大悟似的停下了匆匆的脚步，只是再次回首之时，一切都消失了，像是从来没有发生过一样。,385
千与千寻 千と千尋の神隠し,好评,5,不可以吃太胖哦，会被杀掉的！不可以吃太胖哦，会被杀掉的！不可以吃太胖哦，会被杀掉的！,372
千与千寻 千と千尋の神隠し,一般,3,内个白龙好像塔矢亮！其实这是个爱丽丝漫游奇遇记的东方版呢！,1881
千与千寻 千と千尋の神隠し,一般,3,不能吃太多不然会被杀掉，就好像是在高速人们不能贪的太多要有个度，不然会遭报应，不好好工作努力生存，就会被淘汰，宫崎骏的电影都是直入人心的，不像一针见血，让你慢慢的就感觉到了他要说什么，期待宫崎骏以后会有更好的作品,102
千与千寻 千と千尋の神隠し,一般,3,这电影看的时候不晓得为什么我只感觉恶心。,12
千与千寻 千と千尋の神隠し,一般,3,我宁愿相信这世上有魔法，一切都会好的。,7
千与千寻 千と千尋の神隠し,一般,3,吃别人东西会变成猪，不工作会变成猪，吃太胖就会被宰掉……宫崎骏真是在认认真真给小小朋友们做动画片啊,6
千与千寻 千と千尋の神隠し,一般,3,原来跟小白龙也可以有爱情,0
千与千寻 千と千尋の神隠し,一般,3,怎么会有爱情呢?是翻译不准还是我不懂爱是什么 ?,8
千与千寻 千と千尋の神隠し,一般,3,还好啦，人人都爱的千与千寻。,1
千与千寻 千と千尋の神隠し,差评,2,过于无厘头 还有点恶心,30
千与千寻 千と千尋の神隠し,差评,1,The most overrated animated film ever,16
千与千寻 千と千尋の神隠し,差评,2,看8下去……,6
千与千寻 千と千尋の神隠し,差评,2,熟么啊我操？一家人来到了一个不是人呆的地方儿，她爸妈立刻吃成猪了，她没吃所以没有成猪，然后非想跟那儿找一工作，但找工作必须要一老太婆儿同意，然后老太婆儿就同意了，然后她就找着了一个工作，跟一群蛤蟆开始了生活，然后那群蛤蟆一会儿觉得人的味道香一会儿觉得臭，就没个长性。我操这熟么啊？,14
千与千寻 千と千尋の神隠し,差评,2,实在是爱不起来宫崎骏。。。总感觉没什么意思。儿童看看还是蛮好的。,9
千与千寻 千と千尋の神隠し,差评,2,说实话，还是更喜爱宫崎骏早期的动漫作品,6
千与千寻 千と千尋の神隠し,差评,1,原谅我的无力欣赏,15
千与千寻 千と千尋の神隠し,差评,2,也是跟风看的，不过看到千寻他爸妈变成那猪样，就没有多大兴趣了，好像觉得那猪画得有点恶心,6
千与千寻 千と千尋の神隠し,差评,1,我放弃。我试过三次。抓不到这个影片的点。,8
千与千寻 千と千尋の神隠し,差评,2,差距，压根不怎么看日本动画片的我看不太懂这部大家公认好的电影。,5
千与千寻 千と千尋の神隠し,差评,2,我不懂，这是怎么成为豆瓣第五名的。,3
千与千寻 千と千尋の神隠し,差评,2,想打三星，但个人喜好成都就只有一星。所以中和一下就是二星。,2
千与千寻 千と千尋の神隠し,差评,2,除了环保还能有点新意吗？,2
星际穿越 Interstellar,好评,5,时间可以伸缩和折叠，唯独不能倒退。你的鹤发或许是我的童颜，而我一次呼吸能抵过你此生的岁月。,43673
星际穿越 Interstellar,好评,5,看完没人起立鼓掌，因为全跪着。,11429
星际穿越 Interstellar,好评,5,"整场基本屏住呼吸,瞠目结舌,无话可说.在香港这么多年除了电影节我第一次碰见放映结束观众集体鼓掌的.去年看完Gravity我觉得太空科幻片已经拍到头了,然后Nolan大神把我这点眼界碾压得粉碎.三体迷不必再较真拍三体这事Nolan已经把后半部给拍了.",10377
星际穿越 Interstellar,好评,5,天地玄黄，宇宙洪荒。英雄气笃，儿女情长。,5433
星际穿越 Interstellar,好评,4,如果要给这部电影分级，我决定叫他逼级片。,1946
星际穿越 Interstellar,好评,5,等我死的时候替我烧一盘蓝光的,1520
星际穿越 Interstellar,好评,5,朝阳大悦城10月12日晚10点半那场，4排嗑瓜子的某位中年男士，我诅咒你下辈子是一株向日葵。,1003
星际穿越 Interstellar,好评,5,情感力量高于一切宇宙哲学。,634
星际穿越 Interstellar,一般,3,诺兰版爸爸去哪儿,44
星际穿越 Interstellar,一般,3,物理学工作者表示科学相关的部分胡编乱造不能忍。建议Physicist不要再看这类科幻片了。三个星给萝莉和美女。,33
星际穿越 Interstellar,一般,3,7分太少，8分太多，7.5分吧。太婆妈了。也没有什么所谓的脑洞。就马特达蒙是唯一最真实的亮点。,22
星际穿越 Interstellar,差评,1,这部电影就值一个字：哦,70
星际穿越 Interstellar,差评,1,"还能更土更儿戏一点吗?毫无思考仅靠煽动,毫无敬畏仅余妄想。如果这片子是中国人排的。你觉得你会打几星？",55
星际穿越 Interstellar,差评,2,这不典型的肥皂剧吗……用爱拯救世界，咋不念着金刚经去拯救世界呢？,43
星际穿越 Interstellar,差评,2,纯文本的。,15
星际穿越 Interstellar,差评,2,豆瓣对诺兰的滤镜真是一个不解之谜,14
星际穿越 Interstellar,差评,1,我忍了一个月。今晚在抽家，Raki问我，为什么艾薇儿会有Hello Kitty这种歌。我说，那怎样，诺兰还拍了这片子呢。,30
星际穿越 Interstellar,差评,1,豆瓣上的人电影品味真是低,36
美丽人生 La vita è bella,好评,5,我以为如此智慧的一个人，在那几声枪响过后，必定是会走出来，继续对他的公主说早安的...,30658
美丽人生 La vita è bella,好评,5,如果谎言可以这样美丽，我也情愿生活在谎言之中,14601
美丽人生 La vita è bella,好评,5,喜剧的开始，悲剧的结束，满满的亲情，无限的父爱,10061
美丽人生 La vita è bella,好评,4,看了这个不要看《辛德勒名单》或者看了《辛德勒名单》不要看这个。时间：2005,7323
美丽人生 La vita è bella,好评,5,"即使是悲惨世界,也要大大的笑着.",7084
美丽人生 La vita è bella,好评,5,很久以前看过的，永远难忘片中父亲的鬼脸,5257
美丽人生 La vita è bella,好评,4,这是父亲所作的牺牲，这是父亲赐我的恩典。,3897
美丽人生 La vita è bella,好评,5,对我说：“早上好，公主”吧,4024
美丽人生 La vita è bella,好评,5,"世界上最美丽的谎言与微笑。Surprise her, forever!",2134
美丽人生 La vita è bella,好评,5,该给 1000 分的电影,2186
美丽人生 La vita è bella,好评,5,最温柔的谎言。,1109
美丽人生 La vita è bella,好评,5,重看，我想这部片子可以教会每个男人如何做父亲,744
美丽人生 La vita è bella,好评,5,我爸爸是四核的超人,691
美丽人生 La vita è bella,好评,5,早安！公主！,683
美丽人生 La vita è bella,好评,5,后来他成了王子还有传说。,622
美丽人生 La vita è bella,一般,3,用我残疾的心去看这样一部电影。已经完全没有知觉了。,407
美丽人生 La vita è bella,一般,3,臥槽太感人了,5
美丽人生 La vita è bella,一般,3,这个时间点看着实难以共情，己所不欲勿施于人，经过大灾大难的民族应该更能体会。,6
美丽人生 La vita è bella,一般,3,战乱中也应有的乐观,3
美丽人生 La vita è bella,一般,3,为什么这么高分？,3
美丽人生 La vita è bella,差评,1,如果电影掩饰真相，那就是一种宣传工具罢了，你骗不了所有人！,47
美丽人生 La vita è bella,差评,1,受害者终成加害者,31
美丽人生 La vita è bella,差评,1,屠龙者终成恶龙,23
美丽人生 La vita è bella,差评,1,现在的加沙就是个油太人制造的集中营。,25
美丽人生 La vita è bella,差评,1,“我本可以把犹太人全部杀死，但我留了一些活口，为的是让世人了解我为什么要干掉他们。”,31
美丽人生 La vita è bella,差评,1,电影是假的，可一个住巴勒斯坦的父亲安慰女儿说炸弹是烟花，这是真的！看见那个女孩天真的笑容，越是觉得这部电影的恶心！,42
美丽人生 La vita è bella,差评,2,闹剧般的轻浮。,12
美丽人生 La vita è bella,差评,1,可惜了，现在世界上还有犹太人,12
美丽人生 La vita è bella,差评,1,今天的加沙,17
这个杀手不太冷 Léon,好评,5,萝莉有颗御姐心，正太有个大叔身——邪恶又天真、残酷又温柔，多完美,16534
这个杀手不太冷 Léon,好评,5,一半的魅力来自反派：Gary Oldman.,9608
这个杀手不太冷 Léon,好评,4,我开始想要过得快乐，睡在床上，有牵挂,9983
这个杀手不太冷 Léon,好评,5,她对Leon说，自从遇见你后，我的胃，再也不痛了……,9441
这个杀手不太冷 Léon,好评,5,Leon的门打开，一束好象来自天堂的光照在Mathilda脸上。给他快乐，从不发问。细节和大方向都很出色，一部控制得几乎完美的电影。,7077
这个杀手不太冷 Léon,好评,5,这个男人他是从儿时的动画片里走出来的，是邪恶和童真的混合体，这令我着迷。,5942
这个杀手不太冷 Léon,好评,5,-Is life always this hard.or is it just when you're a kid-Always like this.,4323
这个杀手不太冷 Léon,好评,5,或许是很多姑娘大叔控的根源。,3793
这个杀手不太冷 Léon,好评,5,"Lon： You're not going to lose me. You've given me a taste for life. I wanna be happy. Sleep in a bed, have roots. And you'll never be alone again, Mathilda. Please, go now, baby, go. Calm down, go now, go.",3556
这个杀手不太冷 Léon,好评,5,我到哪里找，像你这么好。,2601
这个杀手不太冷 Léon,好评,5,"Here in my stomach. It's all warm. I always had a knot there, and now.. it's gone.",1563
这个杀手不太冷 Léon,好评,5,我对只能看出炼铜的人无话可说,997
这个杀手不太冷 Léon,好评,5,超级爱那个男人抱着一盆植物走在街道上的样子。,1583
这个杀手不太冷 Léon,好评,5,娜塔莉波特曼激萌啊,1212
这个杀手不太冷 Léon,好评,5,遇见你之后，我的胃再也不痛了。,324
这个杀手不太冷 Léon,一般,3,我没啥感觉的公认好片。,6791
这个杀手不太冷 Léon,一般,3,这部能top4是我心里的谜团,438
这个杀手不太冷 Léon,一般,3,其实，一直不太懂，这个电影高分的原因…,199
这个杀手不太冷 Léon,一般,3,……有些电影就是拍给你13岁的时候看的，30岁才看就会看笑话,55
这个杀手不太冷 Léon,一般,3,名头比内容大…,67
这个杀手不太冷 Léon,一般,3,炼铜癖的yy也能被五百万人吹到9.4……,29
这个杀手不太冷 Léon,差评,1,大家都没有发现这是炼铜吗，原来的剧本里还有床戏，1星都不想打，娜塔丽波特曼后来遭到了无数炼铜癖的骚扰。,598
这个杀手不太冷 Léon,差评,2,让我真切感受到豆瓣男性用户很多的电影之一,107
这个杀手不太冷 Léon,差评,2,满屏的英雄主义和恶臭萝莉文化…崇拜、依赖、学徒，忠诚、献身！终于知道为啥小男孩都爱不良少女了！她们懂得多，肯献身。也算知道怎么回事了。歌挺好听,118
这个杀手不太冷 Léon,差评,1,男凝抄袭,81
这个杀手不太冷 Léon,差评,2,就算美国院线发行的版本已经删去了二十多分钟的敏感内容，也掩盖不了影片的恋童本质。,58
这个杀手不太冷 Léon,差评,1,这部倒霉的傻逼电影正好在我极度郁闷时被我撞上了...要是我就把那小瘪三打爆头,22
这个杀手不太冷 Léon,差评,2,实在不懂为何高居第三名？,36
盗梦空间 Inception,好评,5,大概广电局也不知道该从哪里剪,53204
盗梦空间 Inception,好评,5,我的陀螺停不下来了。,7668
盗梦空间 Inception,好评,4,你永远记不起一个梦的开端，就像记不起我们如何来到这个世界上。,7374
盗梦空间 Inception,好评,4,你们终于知道我每天晚上做这种梦有多累了吧,2337
盗梦空间 Inception,好评,5,列奥纳多干完这票肯定是要去Shutter Island修养一阵了。,2058
盗梦空间 Inception,好评,5,Christopher Nolan是天才!,1970
盗梦空间 Inception,好评,5,诺兰莱昂纳多的电影，我无话可说！,1849
盗梦空间 Inception,好评,5,永远别用回忆来建构你的梦境,1771
盗梦空间 Inception,好评,5,迷离失所，戏假情真！,919
盗梦空间 Inception,好评,5,有人说诺兰克死了金敏……,554
盗梦空间 Inception,好评,5,本片可用于测智商,571
盗梦空间 Inception,好评,5,除了影片自身的魅力，片中斋藤身为甲方如此努力让我吃惊 他爹的我怎么碰不到这种甲方,480
盗梦空间 Inception,好评,4,庄周一句话就搞掂了，费那劲儿干啥,277
盗梦空间 Inception,好评,5,MLGB诺兰你熊的！这TMD就是我想要拍的电影！！！,348
盗梦空间 Inception,一般,3,今敏大人啊您的点子被电影化，感觉好像科教片……,624
盗梦空间 Inception,一般,3,豆瓣上评分那么高的片子，分几次看完还看得如此索然无味。。。,73
盗梦空间 Inception,一般,3,跟莉莉在南京看的，很好懂啊，有什么可分析的,26
盗梦空间 Inception,一般,3,时隔七年再刷，深觉无趣。,12
盗梦空间 Inception,一般,3,某种原因我只能给三星,28
盗梦空间 Inception,一般,3,讲真看不太懂，没法给高评分,13
盗梦空间 Inception,一般,3,感觉很神幻，真的挺好的，让人很容易入情,8
盗梦空间 Inception,一般,3,为嘛！为嘛这个片子这么高分！,6
盗梦空间 Inception,一般,3,"算是有半部好片 ! 前半部的入夢 , 分析 , 再入夢等惰節密集得來處理得亦算流暢 . 但後半部則好像除了要貫徹電影的主旨之餘 , 還要照顧科幻動作片迷的囗味 , 因而顯得有點力有不棣 !但整體其實已是Nolan暫時最好的荷里活大製作 ! 半 !",14
盗梦空间 Inception,差评,2,比较烦诺兰,13
盗梦空间 Inception,差评,2,基本上可以说毫无想象力,8
盗梦空间 Inception,差评,2,二星。卖弄设定，外强中干。,5
盗梦空间 Inception,差评,1,太费劲了。,4
盗梦空间 Inception,差评,2,两个瞎逼纠结的夫妻,6
盗梦空间 Inception,差评,2,let's pretend that we actually understand inception together.,1
盗梦空间 Inception,差评,2,boring,1
盗梦空间 Inception,差评,2,无法理解分那么高,6
盗梦空间 Inception,差评,1,完全是泄恨,1
盗梦空间 Inception,差评,1,there are something very touch inside,4
盗梦空间 Inception,差评,1,某些人拿這種東西賺一次票錢就應該去今敏坟前磕一次頭,19
盗梦空间 Inception,差评,2,第四层，终现瑰丽梦境。（抄袭“红辣椒”，改为两星）,1
盗梦空间 Inception,差评,2,根本没你们传说的好,0
楚门的世界 The Truman Show,好评,5,“如果再也不能见到你，祝你早安，午安和晚安。”,33141
楚门的世界 The Truman Show,好评,5,他用别人的相片拼凑出她的样子， 在这个虚假的，冷漠无情的世界里只有这份思念是唯一的真实,26331
楚门的世界 The Truman Show,好评,4,原来植入广告那都是人家美国人玩剩下的玩意儿……,8298
